data;carga
2019-01-01;2.304
2019-01-02;2.252
2019-01-03;2.262
2019-01-04;2.438
2019-01-05;2.394
2019-01-06;2.385
2019-01-07;2.377
2019-01-08;2.312
2019-01-09;2.363
2019-01-10;2.304
2019-01-11;2.295
2019-01-12;2.271
2019-01-13;2.309
2019-01-14;2.344
2019-01-15;2.328
2019-01-16;2.304
2019-01-17;2.359
2019-01-18;2.384
2019-01-19;2.368
2019-01-20;2.361
2019-01-21;2.393
2019-01-22;2.266
2019-01-23;2.14
2019-01-24;2.194
2019-01-25;2.012
2019-01-26;1.944
2019-01-27;1.893
2019-01-28;1.881
2019-01-29;1.822
2019-01-30;1.724
2019-01-31;1.783
2019-02-01;1.876
2019-02-02;1.897
2019-02-03;1.942
2019-02-04;1.986
2019-02-05;1.959
2019-02-06;1.93
2019-02-07;1.899
2019-02-08;1.887
2019-02-09;1.882
2019-02-10;1.892
2019-02-11;1.894
2019-02-12;1.97
2019-02-13;1.893
2019-02-14;1.897
2019-02-15;1.959
2019-02-16;2.067
2019-02-17;2.073
2019-02-18;2.182
2019-02-19;2.182
2019-02-20;2.074
2019-02-21;2.059
2019-02-22;2.081
2019-02-23;2.098
2019-02-24;2.047
2019-02-25;2.186
2019-02-26;2.221
2019-02-27;2.161
2019-02-28;2.2
2019-03-01;2.105
2019-03-02;2.154
2019-03-03;2.029
2019-03-04;2.063
2019-03-05;2.035
2019-03-06;2.048
2019-03-07;2.122
2019-03-08;2.153
2019-03-09;2.248
2019-03-10;2.235
2019-03-11;2.231
2019-03-12;2.218
2019-03-13;2.241
2019-03-14;2.282
2019-03-15;2.248
2019-03-16;2.199
2019-03-17;2.207
2019-03-18;2.209
2019-03-19;2.332
2019-03-20;2.4
2019-03-21;2.354
2019-03-22;2.315
2019-03-23;2.383
2019-03-24;2.324
2019-03-25;2.244
2019-03-26;2.183
2019-03-27;2.173
2019-03-28;2.186
2019-03-29;2.146
2019-03-30;2.127
2019-03-31;2.144
2019-04-01;2.131
2019-04-02;2.065
2019-04-03;2.121
2019-04-04;2.088
2019-04-05;2.137
2019-04-06;2.14
2019-04-07;2.239
2019-04-08;2.292
2019-04-09;2.308
2019-04-10;2.274
2019-04-11;2.246
2019-04-12;2.192
2019-04-13;2.231
2019-04-14;2.215
2019-04-15;2.193
2019-04-16;2.297
2019-04-17;2.319
2019-04-18;2.315
2019-04-19;2.24
2019-04-20;2.213
2019-04-21;2.14
2019-04-22;2.201
2019-04-23;2.24
2019-04-24;2.226
2019-04-25;2.157
2019-04-26;2.134
2019-04-27;2.206
2019-04-28;2.322
2019-04-29;2.315
2019-04-30;2.395
2019-05-01;2.353
2019-05-02;2.325
2019-05-03;2.296
2019-05-04;2.277
2019-05-05;2.271
2019-05-06;2.44
2019-05-07;2.474
2019-05-08;2.438
2019-05-09;2.423
2019-05-10;2.429
2019-05-11;2.504
2019-05-12;2.507
2019-05-13;2.568
2019-05-14;2.658
2019-05-15;2.568
